a_g_r,a_g_b,a_b_gb,a_b_gr,a_b_r,a_r_gb,a_r_gr,a_r_b
[0.03991733],[0.02383212],[0.00891827],[0.01257445],[0.03761776],[0.0131624],[0.00232622],[0.02665015]
[-0.03951226],[-0.04527969],[0.01863183],[0.0131068],[-0.05577429],[0.00341433],[0.0279723],[-0.06110492]
[-0.11702271],[-0.07612591],[0.02901237],[-0.09541363],[-0.08448063],[-0.09908458],[0.03989598],[-0.06466693]
[-0.04579188],[-0.06301466],[0.02618581],[0.0094258],[-0.06243367],[0.00384414],[0.02229667],[-0.09455541]
[0.03486137],[0.02114361],[0.0216266],[0.00762089],[0.03560163],[0.00130664],[0.01058576],[0.02977272]
[-0.02584337],[-0.02945193],[0.01657909],[0.00786955],[-0.02927973],[0.00059337],[0.01647412],[-0.05541376]
[0.00263906],[-0.00680199],[-0.10558985],[-0.06093034],[0.23737516],[-0.06478935],[-0.11090163],[0.23232006]
[0.37274433],[0.3872734],[-0.01733925],[0.48230998],[0.14903428],[0.47322761],[-0.02179339],[0.19560085]
[0.00072787],[0.00427423],[-0.1008074],[-0.04770224],[0.27629362],[-0.05255742],[-0.10900274],[0.25759749]
[-0.01298943],[-0.01627168],[-0.00011361],[0.01734436],[-0.02459949],[0.00909948],[0.0082707],[-0.03190992]
[-0.09805232],[-0.06166367],[-0.05798014],[0.01723466],[-0.0655748],[0.01824968],[-0.08283637],[-0.04470343]
[0.24595339],[0.26715428],[0.45271853],[-0.02038883],[0.02385838],[-0.00969291],[0.46041269],[0.04105386]
[0.28484842],[0.18613647],[0.42032734],[0.34818733],[0.15693752],[0.36302346],[0.47829685],[0.1133146]
[0.25142398],[0.25622083],[0.47097827],[-0.02527426],[0.03965765],[-0.00725763],[0.44751989],[0.03219088]
[-0.09650285],[-0.06354151],[-0.06899285],[0.01896133],[-0.07283298],[0.02285789],[-0.07456223],[-0.04963249]
[-0.00529593],[-0.0200833],[0.018049],[0.01903606],[-0.02710777],[0.02058785],[-0.00202191],[-0.04233097]
[-0.00150643],[0.0002068],[-0.11310429],[-0.07061608],[0.26751964],[-0.04465689],[-0.10283766],[0.27600426]
[0.36559518],[0.40228013],[-0.03493749],[0.47383357],[0.11605472],[0.48504577],[-0.00680037],[0.21661476]
[-0.00254528],[0.00235234],[-0.10610986],[-0.0767529],[0.23309373],[-0.070147],[-0.11845673],[0.24560301]
[-0.01945345],[-0.0315636],[0.01854622],[0.00692185],[-0.03946689],[0.01698054],[0.00740186],[-0.05103041]
[0.03102926],[0.02187655],[0.01827774],[0.01253186],[0.04988728],[0.00141133],[0.00932767],[0.02313907]
[-0.05195821],[-0.06114986],[0.02697455],[0.01282952],[-0.0672149],[0.00408834],[0.02321241],[-0.09034757]
[-0.10556222],[-0.07771555],[0.03182498],[-0.08949805],[-0.08639357],[-0.10610438],[0.04211676],[-0.06205256]
[-0.03725328],[-0.04735412],[0.01318287],[0.01175202],[-0.03744939],[0.00731322],[0.02305273],[-0.07460848]
[0.0286181],[0.02605417],[0.01669962],[0.01791757],[0.03403156],[0.00990142],[0.01040827],[0.03127895]
